Retrieve genes from a given family
Input family: MF_00395 Cytb6_f_PetN

Output:
Gene	GeneName	Species
Syn6312_3606	-	synechococcus_sp_pcc_6312
Cyagr_0639	-	cyanobium_gracile_pcc_6307
Pse7367_2240	-	pseudanabaena_sp_pcc_7367
Sta7437_0473	-	stanieria_cyanosphaera_pcc_7437
PCC7418_1058	-	halothece_sp_pcc_7418
Glo7428_3017	-	gloeocapsa_sp_pcc_7428
A9601_08011	petN	prochlorococcus_marinus_str_as9601
Cyast_1374	-	cyanobacterium_stanieri_pcc_7202
RS9916_29714	-	synechococcus_sp_rs9916
WH7805_02912	-	synechococcus_sp_wh_7805
Aazo_0201	-	_nostoc_azollae_0708
N9414_00855	-	nodularia_spumigena_ccy9414
SYNGTS_0148	petN	synechocystis_sp_pcc_6803_gca_000270265_1
Cylst_3734	-	cylindrospermum_stagnale_pcc_7417
PCC7424_1036	-	cyanothece_sp_pcc_7424
PMT9312_0748	-	prochlorococcus_marinus_str_mit_9312
KR49_01775	petN	synechococcus_sp_kordi_49
Cyan8802_2452	-	cyanothece_sp_pcc_8802
WH5701_13365	-	synechococcus_sp_wh_5701
SynRCC307_1407	petN	synechococcus_sp_rcc307
ANA_C11389	petN	anabaena_sp_90
Anacy_2773	-	anabaena_cylindrica_pcc_7122
RS9917_12375	-	synechococcus_sp_rs9917
P9301_08001	petN	prochlorococcus_marinus_str_mit_9301
Lepto7376_4012	-	leptolyngbya_sp_pcc_7376
PMT_0673	petN	prochlorococcus_marinus_str_mit_9313
CPCC7001_109	-	cyanobium_sp_pcc_7001
NIES39_A02580	petN/ycf6	arthrospira_platensis_nies_39
P9211_08411	petN	prochlorococcus_marinus_str_mit_9211
UCYN_12050	-	candidatus_atelocyanobacterium_thalassa
Syncc9902_1056	-	synechococcus_sp_cc9902
NK55_10710	petN	thermosynechococcus_sp_nk55a
SYNPCCN_0148	petN	synechocystis_sp_pcc_6803_substr_pcc_n
sync_1422	-	synechococcus_sp_cc9311
PMM0740	petN	prochlorococcus_marinus_subsp_pastoris_str_ccmp1986
NATL1_09621	petN	prochlorococcus_marinus_str_natl1a
SynWH7803_1211	petN	synechococcus_sp_wh_7803
MAESPC_04125	-	microcystis_aeruginosa_spc777
syc1044_d	petN	synechococcus_elongatus_pcc_6301
Dacsa_1922	-	dactylococcopsis_salina_pcc_8305
Pro_0918	petN	prochlorococcus_marinus_subsp_marinus_str_ccmp1375
Cal7507_1674	-	calothrix_sp_pcc_7507
KR100_08365	petN	synechococcus_sp_kordi_100
Syn7502_03442	-	synechococcus_sp_pcc_7502
BAC91641	petN	gloeobacter_violaceus_pcc_7421
AM1_6424	petN	acaryochloris_marina_mbic11017
BL107_12650	-	synechococcus_sp_bl107
Npun_R1599	-	nostoc_punctiforme_pcc_73102
Chro_4759	-	chroococcidiopsis_thermalis_pcc_7203
Cri9333_3537	-	crinalium_epipsammum_pcc_9333
SYNW1303	petN	synechococcus_sp_wh_8102
CYA_2776	petN	synechococcus_sp_ja_3_3ab
Syncc9605_1443	-	synechococcus_sp_cc9605
BAB75962	petN	nostoc_sp_pcc_7120
MAE_26100	petN	microcystis_aeruginosa_nies_843
PMN2A_0290	-	prochlorococcus_marinus_str_natl2a
SYNPCCP_0148	petN	synechocystis_sp_pcc_6803_substr_pcc_p
BAA16724	ycf6	synechocystis_sp_pcc_6803_gca_000009725_1
Cha6605_3193	-	chamaesiphon_minutus_pcc_6605
BAC08379	petN	thermosynechococcus_elongatus_bp_1
Riv7116_0190	-	rivularia_sp_pcc_7116
KR52_09225	petN	synechococcus_sp_kordi_52
OsccyDRAFT_1430	-	oscillatoriales_cyanobacterium_jsc_12
Syncc8109_1233	petN	synechococcus_sp_wh_8109
Ple7327_4632	-	pleurocapsa_sp_pcc_7327
MYO_11470	ycf6	synechocystis_sp_pcc_6803_gca_000340785_1
P9202_1289	-	prochlorococcus_marinus_str_mit_9202
P9303_15511	petN	prochlorococcus_marinus_str_mit_9303
CY0110_09201	-	cyanothece_sp_ccy0110
Xen7305DRAFT_00012270	-	xenococcus_sp_pcc_7305
BEST7613_1497	petN	bacillus_subtilis_best7613
Cal6303_1223	-	calothrix_sp_pcc_6303
Cyan10605_2072	-	cyanobacterium_aponinum_pcc_10605
Lepto7375DRAFT_3878	-	leptolyngbya_sp_pcc_7375
Oscil6304_5680	-	oscillatoria_acuminata_pcc_6304
PCC8801_2395	-	cyanothece_sp_pcc_8801
SYNGTI_0148	petN	synechocystis_sp_pcc_6803_substr_gt_i
cce_4446	petN	cyanothece_sp_atcc_51142
Cyan7425_3669	-	cyanothece_sp_pcc_7425
