#stable_id	start	end	strand	biotype	description
MRA_0001	1	1524	1	protein_coding	chromosomal replication initiation protein
MRA_0002	2052	3260	1	protein_coding	DNA polymerase III subunit beta DnaN
MRA_0003	3280	4437	1	protein_coding	DNA replication and repair protein RecF
MRA_0004	4434	4997	1	protein_coding	hypothetical protein
MRA_0005	5123	7267	1	protein_coding	DNA gyrase subunit B
MRA_0006	7302	9818	1	protein_coding	DNA gyrase subunit A
MRA_0007	9914	10828	1	protein_coding	putative conserved membrane protein
MRA_t01	10887	10960	1	tRNA	-
MRA_t02	11112	11184	1	tRNA	-
MRA_0008	11874	12311	-1	protein_coding	putative membrane protein
MRA_0009	12468	13016	1	protein_coding	iron-regulated peptidyl-prolyl cis-trans isomerase A
MRA_0010	13133	13558	-1	protein_coding	putative conserved membrane protein
MRA_0011	13665	14549	-1	protein_coding	IS6110 transposase
MRA_0012	14600	14926	-1	protein_coding	IS6110 hypothetical protein
MRA_0013	15072	15353	-1	protein_coding	hypothetical protein
MRA_0014	15447	16235	1	protein_coding	putative conserved membrane protein
MRA_0015	16272	16970	1	protein_coding	para-aminobenzoate synthase component II
MRA_0016	16948	18828	-1	protein_coding	serine/threonine protein kinase
MRA_0017	18825	20120	-1	protein_coding	serine/threonine protein kinase
MRA_0018	20117	21592	-1	protein_coding	putative penicillin-binding protein PbpA
MRA_0019	21589	22998	-1	protein_coding	cell division protein FtsA
MRA_0020	22995	24539	-1	protein_coding	putative serine/threonine phosphatase Ppp
MRA_0021	24628	25095	-1	protein_coding	hypothetical protein
MRA_0022	25219	26802	-1	protein_coding	hypothetical protein
MRA_t03	27002	27084	1	tRNA	-
MRA_0023	27271	28239	-1	protein_coding	2-nitropropane dioxygenase
MRA_0024	28351	28659	1	protein_coding	hypothetical protein
MRA_0025	28381	28800	-1	protein_coding	putative transcriptional regulatory protein whib-like WhiB5
MRA_0026	28953	29723	1	protein_coding	putative transcriptional regulatory protein
MRA_0027	29720	30565	1	protein_coding	NLP/P60 family protein
MRA_0028	30603	30965	1	protein_coding	hypothetical protein
MRA_0029	31080	32426	1	protein_coding	hypothetical protein
MRA_0030	32547	32864	1	protein_coding	hypothetical protein
MRA_0031	32872	33177	1	protein_coding	hypothetical protein
MRA_0032	33415	34512	1	protein_coding	hypothetical protein
MRA_0033	34582	34911	1	protein_coding	hypothetical protein
MRA_0034	34940	35152	1	protein_coding	putative remnant of a transposase
MRA_0035	35653	37968	1	protein_coding	8-amino-7-oxononanoate synthase
MRA_0036	37965	38228	1	protein_coding	acyl carrier protein AcpA
MRA_0037	38225	38620	1	protein_coding	hypothetical protein
MRA_0038	38617	40305	1	protein_coding	fatty-acid-CoA ligase FadD34
MRA_0039	40414	41187	-1	protein_coding	hypothetical protein
MRA_0040	41235	42560	-1	protein_coding	putative conserved integral membrane protein
MRA_0041	42662	43270	1	protein_coding	putative transcriptional regulatory protein
MRA_0042	43362	43709	-1	protein_coding	putative conserved transmembrane protein
MRA_0043	43791	44723	-1	protein_coding	proline rich secreted protein Mtc28
MRA_0044	44920	47829	1	protein_coding	leucyl-tRNA synthetase
MRA_0045	47939	48565	-1	protein_coding	MarR-family transcriptional regulator
MRA_0046	48724	49458	-1	protein_coding	GntR family transcriptional regulator
MRA_0047	49591	50385	-1	protein_coding	putative oxidoreductase
MRA_0048	50401	51297	-1	protein_coding	putative hydrolase
MRA_0049	51379	52482	-1	protein_coding	1L-myo-inositol-1-phosphate synthase
MRA_0050	52543	53085	-1	protein_coding	hypothetical protein
MRA_0051	53186	54055	-1	protein_coding	hypothetical protein
MRA_0052	54189	54602	1	protein_coding	hypothetical protein
MRA_0053	55021	57057	1	protein_coding	bifunctional penicillin-binding protein 1A/1B PonA1
MRA_0054	57054	58736	1	protein_coding	putative conserved transmembrane protein
MRA_0055	58768	59331	1	protein_coding	conserved hypothetical protein
MRA_0056	59550	59840	1	protein_coding	30S ribosomal protein S6
MRA_0057	59944	60438	1	protein_coding	single-strand DNA-binding protein
MRA_0058	60480	60734	1	protein_coding	30S ribosomal protein S18
MRA_0059	60767	61225	1	protein_coding	50S ribosomal protein L9
MRA_0059A	61254	61775	1	protein_coding	hypothetical protein
MRA_0060	61754	64378	1	protein_coding	replicative DNA helicase
MRA_0061	64558	65250	1	protein_coding	hypothetical protein
MRA_0062	65267	66325	1	protein_coding	hypothetical protein
MRA_0063	66349	66774	1	protein_coding	hypothetical protein
MRA_0064	66910	68052	1	protein_coding	cellulase
MRA_0065	68281	69720	1	protein_coding	putative oxidoreductase
MRA_0066	69978	72917	1	protein_coding	hypothetical protein
MRA_0067	73179	73580	1	protein_coding	hypothetical protein
MRA_0068	73632	75869	-1	protein_coding	isocitrate dehydrogenase (NADP) Icd2
MRA_0069	75987	76556	-1	protein_coding	TetR-family transcriptional regulator
MRA_0070	76659	77570	1	protein_coding	putative oxidoreductase
MRA_0071	77595	78980	-1	protein_coding	L-serine dehydratase
MRA_0072	78977	80254	-1	protein_coding	serine hydroxymethyltransferase
MRA_0073	80844	81551	1	protein_coding	putative maturase
MRA_0074	81982	83031	1	protein_coding	putative glutamine-transport transmembrane protein ABC transporter
MRA_0075	83034	84026	1	protein_coding	glutamine-transport ATP-binding protein ABC transporter GlnQ
MRA_0076	84106	85341	1	protein_coding	hypothetical protein
MRA_0077	85354	86526	1	protein_coding	putative aminotransferase
MRA_0078	86541	86930	-1	protein_coding	putative membrane protein
MRA_0079	86994	87824	-1	protein_coding	putative oxidoreductase
MRA_0080	87886	88491	1	protein_coding	putative transcriptional regulatory protein
MRA_0081	88566	89159	-1	protein_coding	hypothetical protein
MRA_0082	89156	89362	-1	protein_coding	hypothetical protein
MRA_0083	89562	90383	1	protein_coding	hypothetical protein
MRA_0084	90380	90838	1	protein_coding	hypothetical protein
MRA_0085	90933	91277	1	protein_coding	putative transcriptional regulatory protein
MRA_0086	91282	91761	1	protein_coding	putative oxidoreductase
MRA_0087	91758	93680	1	protein_coding	putative NADH-ubiquinone oxidoreductase
MRA_0088	93686	94636	1	protein_coding	formate hydrogenlyase HycD
MRA_0089	94647	95309	1	protein_coding	putative hydrogenase HycP
MRA_0090	95309	96775	1	protein_coding	putative hydrogenase HycQ
MRA_0091	96772	98250	1	protein_coding	putative formate hydrogenase HycE
MRA_0092	98285	98959	1	protein_coding	hypothetical protein
MRA_0093	99116	99709	1	protein_coding	putative methyltransferase
MRA_0094	99838	100608	1	protein_coding	putative membrane protein
MRA_0095	101042	101809	1	protein_coding	putative 5-methylthioadenosine nucleosidase/S-adenosylhomocysteine nucleosidase
MRA_0096	101941	104226	1	protein_coding	cation transporter p-type ATPase A
MRA_0097	104173	105021	-1	protein_coding	putative conserved membrane protein
MRA_0098	105068	106021	-1	protein_coding	hypothetical protein
MRA_0099	106163	106573	-1	protein_coding	hypothetical protein
MRA_0100	106682	108073	1	protein_coding	PPE family protein
MRA_0101	108092	108961	1	protein_coding	putative dioxygenase
MRA_0102	108958	109509	1	protein_coding	hypothetical protein
MRA_0103	109514	111136	1	protein_coding	fatty-acid-CoA ligase FadD10
MRA_0104	111141	111377	1	protein_coding	Conserved hypothetical protein
MRA_0105	111359	111637	1	protein_coding	putative peptide synthetase
MRA_0106	111665	118897	1	protein_coding	putative peptide synthetase
MRA_0107	119072	121057	1	protein_coding	putative conserved integral membrane protein
MRA_0108	121273	123531	-1	protein_coding	Cation-transporting P-type ATPase B
MRA_0109	123675	125189	1	protein_coding	conserved hypothetical protein
MRA_0110	125338	125622	-1	protein_coding	ribosomal protein L28
MRA_0111	125732	126928	1	protein_coding	hypothetical protein
MRA_0112	127001	131899	-1	protein_coding	cation-transporter ATPase I CtpI
MRA_0114	132253	132462	-1	protein_coding	hypothetical protein
MRA_0115	132741	134231	1	protein_coding	PE-PGRS family protein
MRA_0116	134379	135128	1	protein_coding	Rhomboid family protein
MRA_0117	135309	137366	1	protein_coding	putative transmembrane acyltransferase
MRA_0118	137648	138604	1	protein_coding	putative GDP-D-mannose dehydratase
MRA_0119	138678	139268	1	protein_coding	putative phosphoheptose isomerase GmhA
MRA_0120	139300	139872	1	protein_coding	D-alpha,beta-D-heptose-1,7-biphosphate phosphatase GmhB
MRA_0121	139872	141032	1	protein_coding	D-alpha-D-heptose-7-phosphate kinase HddA
MRA_0122	141324	141503	1	protein_coding	hypothetical protein
MRA_0123	141626	142381	-1	protein_coding	putative conserved membrane protein
MRA_0124	142559	143503	1	protein_coding	oxidative stress response regulatory protein OxyS
MRA_0125	143487	145235	-1	protein_coding	hypothetical protein
MRA_0126	145408	146985	1	protein_coding	fatty-acid-CoA ligase FadD7
MRA_0127	146986	149130	-1	protein_coding	translation elongation factor EF-G
MRA_0128	149267	149701	-1	protein_coding	hypothetical protein
MRA_0129	149850	150218	1	protein_coding	hypothetical protein
MRA_0130	150215	150583	1	protein_coding	conserved hypothetical protein
MRA_0131	150892	152355	1	protein_coding	PE-PGRS family protein
MRA_0132	152507	153574	1	protein_coding	putative serine protease
MRA_0133	153683	155488	1	protein_coding	trehalose synthase TreS
MRA_0134	155591	156958	1	protein_coding	conserved hypothetical protein
MRA_0135	157026	157805	1	protein_coding	putative conserved transmembrane protein
MRA_0136	157937	158959	-1	protein_coding	secreted antigen 86-C FbpC
MRA_0137	159206	159661	1	protein_coding	hypothetical protein
MRA_0138	159674	161017	-1	protein_coding	acyl-CoA dehydrogenase FadE1
MRA_0139	161059	162141	-1	protein_coding	putative f420-dependent glucose-6-phosphate dehydrogenase Fgd2
MRA_0140	162228	162833	1	protein_coding	putative puromycin N-acetyltransferase
MRA_0141	163130	164032	1	protein_coding	epoxide hydrolase EphF
MRA_0142	164003	164608	-1	protein_coding	putative transcriptional regulatory protein
MRA_0143	164725	166050	1	protein_coding	putative cytochrome p450 138 CYP138
MRA_0144	166071	166619	-1	protein_coding	methionine sulfoxide reductase A
MRA_0145	166682	167185	1	protein_coding	hypothetical protein
MRA_0146	167186	168208	1	protein_coding	dihydroflavonol 4-reductase-related protein
MRA_0147	168269	168649	1	protein_coding	hypothetical protein
MRA_0148	168630	169040	-1	protein_coding	hypothetical protein
MRA_0149	169070	169996	1	protein_coding	hypothetical protein
MRA_0150	170063	171541	-1	protein_coding	chloride channel
MRA_0151	171643	172485	1	protein_coding	TetR-family transcriptional regulator
